Penguin's Prayer	Lake Merced	37°42′47.29″N,122°29′7.32″W
Peace	NULL	37°42′53.19″N,122°28′33.21″W
Captain Juan Bautista de Anza	Lake Merced	37°43′42.01″N,122°29′37″W
Florence Nightingale	Laguna Honda Hospital	37°44′51.93″N,122°27′26.24″W
Bear	UCSF Medical Center	37°45′46.85″N,122°27′35.72″W
Bear and Cubs	UCSF Medical Center	37°45′47.56″N,122°27′32.07″W
Father Junipero Serra	Mission San Francisco de Asís	37°45′50.57″N,122°25′37″W
Beethoven	Golden Gate Park	37°46′10.52″N,122°28′4.4″W
Roald Amundsen	Golden Gate Park	37°46′11.76″N,122°30′37.56″W
Thomas Garrigue Masaryk	Golden Gate Park	37°46′16.53″N,122°28′15.42″W
Roman Gladiator	Golden Gate Park	37°46′18.18″N,122°28′5.65″W
Thomas Starr King	Golden Gate Park	37°46′20.24″N,122°27′58.59″W
Horse	Horseshoe Courts, Golden Gate Park	37°46′24.98″N,122°27′20.73″W
Balanced-Unbalanced: Balanced-Unbalanced T	Davies Symphony Hall	37°46′38.85″N,122°25′12.16″W
Large Four Piece Reclining Figure	Davies Symphony Hall	37°46′41.16″N,122°25′12.16″W
Harry Lundeberg (1901-1957)	Sailors Union of the Pacific Building	37°47′11.19″N,122°23′33.65″W
Andrew Furuseth	Sailors Union of the Pacific Building	37°47′11.28″N,122°23′34.02″W
Tau	160 Spear St.	37°47′29.94″N,122°23′35.77″W
Redding School, Self-Portrait	Alfred Boeddeker Recreation Center	37°47′3.71″N,122°24′42.9″W
Dr. Sun Yat-sen	St. Mary's Square	37°47′31.45″N,122°24′19.63″W
Doors of Paradise	Grace Cathedral	37°47′31″N,122°24′47″W
Transcendence	555 California Street	37°47′32.86″N,122°24′14.51″W
Guardian	600 California Street	37°47′34.06″N,122°24′17.79″W
International Longshoreman's and Warehousemen's Union Memorial	Intersection of Mission Street &amp; Steuart Street	37°47′36.30″N,122°23′36.30″W
Bronze Sculpture	200 California St.	37°47′36.74″N,122°23′55.82″W
Dyonisos	Federal Reserve Bank Building	37°47′40″N,122°23′58″W
Hermes	Federal Reserve Bank Building	37°47′40″N,122°23′58″W
Goddess of Democracy	Portsmouth Square	37°47′41.66″N,122°24′19.31″W
Puddle Jumpers	Transamerica Redwood Park	37°47′41.88″N,122°24′6.84″W
Untitled	Engine House 13	37°47′44.64″N,122°24′5.31″W
Horse	One Maritime Plaza	37°47′45.69″N,122°23′55.7″W
Chinese Foo Dogs	711 Pacific Ave.	37°47′48.37″N,122°24′27.49″W
The Thinker	California Palace of the Legion of Honor	37°47′5.11″N,122°30′1.7″W
Dragon Relief	Broadway Tunnel	37°47′50.03″N,122°24′40.71″W
Two Open Rectangles Eccentric Variation VII Triangle Section	Sydney Walton Square	37°47′51.6″N,122°23′57.27″W
Guglielmo Marconi Memorial Plaque	Lombard St.	37°48′12.81″N,122°24′23.33″W
Andrea	Ghirardelli Square	37°48′21.61″N,122°25′21.01″W
Saint Francis de la Varenne	Corner of Taylor &amp; Beach St.	37°48′26.78″N,122°24′50.52″W
Skygate	On the Embarcadero, between Pier 35 and	37°48′29.07″N,122°24′29.15″W
Guardians of the Gate	Pier 39	37°48′31.44″N,122°24′38.9″W